Vertices, Edges, Average Degree, Name, Tarjan Vishkin, Tarjan Vishkin with Union Find, Tarjan Vishkin Parallel, Tarjan Vishkin Parallel with Union Find
31379,97296,6.20134,Graphs/graphs//as-caida_G_074.in,0.200932,0.195081,0.182889,0.173968
31379,97492,6.21384,Graphs/graphs//as-caida_G_075.in,0.201521,0.198452,0.186598,0.178613
31379,98178,6.25756,Graphs/graphs//as-caida_G_076.in,0.206441,0.198366,0.184213,0.177682
31379,98664,6.28854,Graphs/graphs//as-caida_G_077.in,0.206686,0.200995,0.187064,0.178527
31379,98782,6.29606,Graphs/graphs//as-caida_G_078.in,0.202972,0.199325,0.186009,0.178207
31379,98392,6.2712,Graphs/graphs//as-caida_G_079.in,0.206132,0.205164,0.186853,0.179716
31379,98112,6.25335,Graphs/graphs//as-caida_G_080.in,0.204509,0.202387,0.181591,0.17879
31379,85988,5.48061,Graphs/graphs//as-caida_G_081.in,0.176645,0.171713,0.162561,0.158056
31379,98400,6.27171,Graphs/graphs//as-caida_G_082.in,0.205479,0.201593,0.188415,0.179629
31379,98450,6.2749,Graphs/graphs//as-caida_G_083.in,0.208802,0.203423,0.187383,0.179798
31379,97972,6.24443,Graphs/graphs//as-caida_G_084.in,0.204362,0.196447,0.183918,0.176437
31379,99166,6.32053,Graphs/graphs//as-caida_G_085.in,0.211625,0.206044,0.18887,0.182921
31379,99660,6.35202,Graphs/graphs//as-caida_G_086.in,0.213428,0.203984,0.188472,0.181092
31379,99652,6.35151,Graphs/graphs//as-caida_G_087.in,0.213044,0.204976,0.188615,0.181935
31379,100366,6.39702,Graphs/graphs//as-caida_G_088.in,0.210565,0.202224,0.191111,0.182301
31379,101476,6.46777,Graphs/graphs//as-caida_G_089.in,0.2104,0.204376,0.191219,0.183229
31379,100924,6.43258,Graphs/graphs//as-caida_G_090.in,0.208385,0.206395,0.192437,0.184004
31379,101654,6.47911,Graphs/graphs//as-caida_G_091.in,0.215501,0.205791,0.195324,0.187446
31379,101762,6.48599,Graphs/graphs//as-caida_G_092.in,0.216551,0.20905,0.192155,0.188917
31379,99916,6.36834,Graphs/graphs//as-caida_G_093.in,0.212529,0.202583,0.191031,0.181038
31379,102476,6.5315,Graphs/graphs//as-caida_G_094.in,0.220223,0.220305,0.192307,0.187502
31379,102290,6.51965,Graphs/graphs//as-caida_G_095.in,0.220692,0.213744,0.195674,0.188659
31379,102356,6.52385,Graphs/graphs//as-caida_G_096.in,0.220583,0.217404,0.191884,0.186328
31379,102212,6.51468,Graphs/graphs//as-caida_G_097.in,0.218548,0.215554,0.198832,0.189823
31379,102468,6.53099,Graphs/graphs//as-caida_G_098.in,0.216932,0.210806,0.192517,0.189361
31379,103510,6.59741,Graphs/graphs//as-caida_G_099.in,0.222764,0.211759,0.193371,0.186892
31379,102888,6.55776,Graphs/graphs//as-caida_G_100.in,0.220073,0.210758,0.194714,0.187237
31379,103020,6.56617,Graphs/graphs//as-caida_G_101.in,0.219968,0.212497,0.191844,0.186998
31379,104096,6.63476,Graphs/graphs//as-caida_G_102.in,0.218777,0.213144,0.192858,0.187756
31379,104634,6.66905,Graphs/graphs//as-caida_G_103.in,0.226096,0.222615,0.195824,0.189321
31379,104824,6.68116,Graphs/graphs//as-caida_G_104.in,0.223089,0.218856,0.196372,0.191523
31379,104726,6.67491,Graphs/graphs//as-caida_G_105.in,0.225036,0.219245,0.19892,0.192497
31379,105092,6.69824,Graphs/graphs//as-caida_G_106.in,0.223594,0.216685,0.197149,0.190926
31379,105332,6.71353,Graphs/graphs//as-caida_G_107.in,0.222555,0.216241,0.197285,0.191407
31379,105524,6.72577,Graphs/graphs//as-caida_G_108.in,0.224606,0.218531,0.197819,0.19161
31379,104802,6.67975,Graphs/graphs//as-caida_G_109.in,0.224413,0.217477,0.195873,0.191428
31379,104846,6.68256,Graphs/graphs//as-caida_G_110.in,0.226217,0.218669,0.196625,0.191315
31379,104766,6.67746,Graphs/graphs//as-caida_G_111.in,0.221625,0.213911,0.195845,0.190123
31379,104730,6.67516,Graphs/graphs//as-caida_G_112.in,0.227519,0.221244,0.195984,0.189003
31379,105382,6.71672,Graphs/graphs//as-caida_G_113.in,0.225299,0.220766,0.198888,0.19153
31379,36406,2.32041,Graphs/graphs//as-caida_G_114.in,0.0726806,0.0705983,0.0873309,0.0820659
31379,106312,6.776,Graphs/graphs//as-caida_G_115.in,0.229295,0.220435,0.199194,0.193863
