Vertices, Edges, Average Degree, Graph Name, Tarjan Vishkin, Tarjan Vishkin with Union Find
2000,19990,19.99,Graphs/graphs//G23.in,37958,19989
2000,19990,19.99,Graphs/graphs//G24.in,37961,19989
2000,19990,19.99,Graphs/graphs//G25.in,37961,19989
2000,19990,19.99,Graphs/graphs//G26.in,37962,19989
2000,19990,19.99,Graphs/graphs//G27.in,37959,19989
2000,19990,19.99,Graphs/graphs//G28.in,37958,19989
2000,19990,19.99,Graphs/graphs//G29.in,37961,19989
2000,19990,19.99,Graphs/graphs//G30.in,37961,19989
2000,19990,19.99,Graphs/graphs//G31.in,37962,19989
2000,4000,4,Graphs/graphs//G32.in,5901,3999
2000,4000,4,Graphs/graphs//G33.in,5921,3999
2000,4000,4,Graphs/graphs//G34.in,5951,3999
2000,11778,11.778,Graphs/graphs//G35.in,21480,11777
2000,11766,11.766,Graphs/graphs//G36.in,21432,11765
2000,11785,11.785,Graphs/graphs//G37.in,21454,11784
2000,11779,11.779,Graphs/graphs//G38.in,21522,11778
2000,11778,11.778,Graphs/graphs//G39.in,21480,11777
2000,11766,11.766,Graphs/graphs//G40.in,21432,11765
2000,11785,11.785,Graphs/graphs//G41.in,21454,11784
2000,11779,11.779,Graphs/graphs//G42.in,21522,11778
1000,9990,19.98,Graphs/graphs//G43.in,18966,9989
1000,9990,19.98,Graphs/graphs//G44.in,18952,9989
1000,9990,19.98,Graphs/graphs//G45.in,18965,9989
1000,9990,19.98,Graphs/graphs//G46.in,18960,9989
1000,9990,19.98,Graphs/graphs//G47.in,18960,9989
3000,6000,4,Graphs/graphs//G48.in,8951,5999
3000,6000,4,Graphs/graphs//G49.in,8971,5999
3000,6000,4,Graphs/graphs//G50.in,8975,5999
1000,5909,11.818,Graphs/graphs//G51.in,10680,5908
1000,5916,11.832,Graphs/graphs//G52.in,10703,5915
1000,5914,11.828,Graphs/graphs//G53.in,10693,5913
1000,5916,11.832,Graphs/graphs//G54.in,10697,5915
5000,12498,4.9992,Graphs/graphs//G55.in,19785,12302
5000,12498,4.9992,Graphs/graphs//G56.in,19785,12302
5000,10000,4,Graphs/graphs//G57.in,14901,9999
5000,29570,11.828,Graphs/graphs//G58.in,53948,29569
5000,29570,11.828,Graphs/graphs//G59.in,53948,29569
7000,17148,4.89943,Graphs/graphs//G60.in,26832,16861
7000,17148,4.89943,Graphs/graphs//G61.in,26832,16861
7000,14000,4,Graphs/graphs//G62.in,20901,13999
7000,41459,11.8454,Graphs/graphs//G63.in,75494,41458
7000,41459,11.8454,Graphs/graphs//G64.in,75494,41458
8000,16000,4,Graphs/graphs//G65.in,23901,15999
9000,18000,4,Graphs/graphs//G66.in,26911,17999
10000,20000,4,Graphs/graphs//G67.in,29901,19999
1096,1677,3.06022,Graphs/graphs//GD96_a.in,1576,1319
100000,501198,10.024,Graphs/graphs//G_n_pin_pout.in,902341,501144
