Vertices,Edges,Average Degree,Graph Name,Tarjan Vishkin,Tarjan Vishkin with Union Find,Decrease using Union Find (%)
31379,106510,6.78862,Graphs/graphs//as-caida_G_120.in,160268.0,106510.0,33.54
31379,106762,6.80468,Graphs/graphs//as-caida_G_121.in,160576.0,106762.0,33.51
31379,105722,6.73839,Graphs/graphs//as-caida_G_122.in,158668.0,105722.0,33.37
31379,106762,6.80468,Graphs/graphs//as-caida.in,160576.0,106762.0,33.51
2000,19990,19.99,Graphs/graphs//G22.in,37959.0,19989.0,47.34
2000,19990,19.99,Graphs/graphs//G23.in,37958.0,19989.0,47.34
2000,19990,19.99,Graphs/graphs//G24.in,37961.0,19989.0,47.34
2000,19990,19.99,Graphs/graphs//G25.in,37961.0,19989.0,47.34
2000,19990,19.99,Graphs/graphs//G26.in,37962.0,19989.0,47.34
2000,19990,19.99,Graphs/graphs//G27.in,37959.0,19989.0,47.34
2000,19990,19.99,Graphs/graphs//G28.in,37958.0,19989.0,47.34
2000,19990,19.99,Graphs/graphs//G29.in,37961.0,19989.0,47.34
2000,19990,19.99,Graphs/graphs//G30.in,37961.0,19989.0,47.34
2000,19990,19.99,Graphs/graphs//G31.in,37962.0,19989.0,47.34
2000,4000,4,Graphs/graphs//G32.in,5901.0,3999.0,32.23
2000,4000,4,Graphs/graphs//G33.in,5921.0,3999.0,32.46
2000,4000,4,Graphs/graphs//G34.in,5951.0,3999.0,32.8
2000,11778,11.778,Graphs/graphs//G35.in,21480.0,11777.0,45.17
2000,11766,11.766,Graphs/graphs//G36.in,21432.0,11765.0,45.11
2000,11785,11.785,Graphs/graphs//G37.in,21454.0,11784.0,45.07
2000,11779,11.779,Graphs/graphs//G38.in,21522.0,11778.0,45.27
2000,11778,11.778,Graphs/graphs//G39.in,21480.0,11777.0,45.17
2000,11766,11.766,Graphs/graphs//G40.in,21432.0,11765.0,45.11
2000,11785,11.785,Graphs/graphs//G41.in,21454.0,11784.0,45.07
2000,11779,11.779,Graphs/graphs//G42.in,21522.0,11778.0,45.27
1000,9990,19.98,Graphs/graphs//G43.in,18966.0,9989.0,47.33
1000,9990,19.98,Graphs/graphs//G44.in,18952.0,9989.0,47.29
1000,9990,19.98,Graphs/graphs//G45.in,18965.0,9989.0,47.33
1000,9990,19.98,Graphs/graphs//G46.in,18960.0,9989.0,47.32
1000,9990,19.98,Graphs/graphs//G47.in,18960.0,9989.0,47.32
3000,6000,4,Graphs/graphs//G48.in,8951.0,5999.0,32.98
3000,6000,4,Graphs/graphs//G49.in,8971.0,5999.0,33.13
3000,6000,4,Graphs/graphs//G50.in,8975.0,5999.0,33.16
1000,5909,11.818,Graphs/graphs//G51.in,10680.0,5908.0,44.68
1000,5916,11.832,Graphs/graphs//G52.in,10703.0,5915.0,44.74
1000,5914,11.828,Graphs/graphs//G53.in,10693.0,5913.0,44.7
1000,5916,11.832,Graphs/graphs//G54.in,10697.0,5915.0,44.7
5000,12498,4.9992,Graphs/graphs//G55.in,19785.0,12302.0,37.82
5000,12498,4.9992,Graphs/graphs//G56.in,19785.0,12302.0,37.82
5000,10000,4,Graphs/graphs//G57.in,14901.0,9999.0,32.9
5000,29570,11.828,Graphs/graphs//G58.in,53948.0,29569.0,45.19
5000,29570,11.828,Graphs/graphs//G59.in,53948.0,29569.0,45.19
7000,17148,4.89943,Graphs/graphs//G60.in,26832.0,16861.0,37.16
7000,17148,4.89943,Graphs/graphs//G61.in,26832.0,16861.0,37.16
7000,14000,4,Graphs/graphs//G62.in,20901.0,13999.0,33.02
7000,41459,11.8454,Graphs/graphs//G63.in,75494.0,41458.0,45.08
7000,41459,11.8454,Graphs/graphs//G64.in,75494.0,41458.0,45.08
8000,16000,4,Graphs/graphs//G65.in,23901.0,15999.0,33.06
9000,18000,4,Graphs/graphs//G66.in,26911.0,17999.0,33.12
10000,20000,4,Graphs/graphs//G67.in,29901.0,19999.0,33.12
1096,1677,3.06022,Graphs/graphs//GD96_a.in,1576.0,1319.0,16.31
100000,501198,10.024,Graphs/graphs//G_n_pin_pout.in,902341.0,501144.0,44.46
